Codice_Fiscale,Nome,Cognome,Via,Numero_Civico,CAP,Provincia,Data_Nascita,Email,Telefono,Vendita,Noleggio
IAFUPZ19J05E550G,Edithe,Menere,Blackbird,53,11331,VH,1972-02-23,emenerecp@amazon.com,585-411-4503,0,1
IAOUMG04K38E652L,Shel,Kemet,Lakeland,178,32359,LD,1961-08-01,skemeta6@eventbrite.com,212-346-0551,0,0
IAWVLN99S17U984P,Spence,Rigby,Chive,135,88766,IB,1980-07-11,srigby10@taobao.com,649-919-0903,1,0
ICXBOO62C46X083E,Consuela,Craise,Forest,176,81375,XS,1983-04-04,ccraisec7@mayoclinic.com,673-907-1664,1,1
IDNEDA42K99Z105D,Arlyn,Sturzaker,Green,98,81029,EE,1977-02-25,asturzaker87@taobao.com,363-271-5093,1,1
IDUATR61E69Y654E,Yule,Medlar,Huxley,84,81977,AI,1960-01-22,ymedlarcs@hexun.com,559-842-3238,1,0
IEAETI56B55X340Q,Xymenes,Blakeman,Pawling,167,25699,DP,1988-08-19,xblakeman48@go.com,780-463-6451,1,0
IEKRHG06F93D704R,Kimmy,Dodworth,Dwight,145,86229,LZ,1974-02-16,kdodworthgm@photobucket.com,781-982-5611,0,0
IGMUSX66C80A459K,Krista,Worthington,Independence,6,03758,BJ,1962-02-27,kworthingtonp@nba.com,842-487-0267,1,1
IJOPLL06H77E285D,Patsy,Gallanders,Hanson,13,96754,BE,1995-06-17,pgallandersar@nymag.com,380-734-7795,0,1
IKCAYP92R66W837J,Jarib,Blooman,Loftsgordon,90,05681,TP,1976-08-17,jblooman45@sun.com,944-660-0484,1,0
ILTAYP92M19Q402T,Lari,Exposito,Steensland,83,23180,GQ,1952-05-23,lexpositodj@mozilla.org,393-956-6054,1,0
ILXSYS95V29Y914C,Barthel,Gallahar,Warner,145,92025,RC,1994-01-15,bgallaharfu@skype.com,397-367-6163,0,0
ILZDWE20K83Y397L,Jozef,Seefeldt,Oak,123,17209,CH,1991-01-03,jseefeldtgw@goodreads.com,132-630-3925,0,1
INATPH26Y99J455X,Theresa,Alwell,Kedzie,58,49476,LE,1999-03-06,talwellge@artisteer.com,502-623-8202,0,0
IOBQVR53N58E774O,Gorden,Sharples,Kipling,52,84153,WV,1966-02-26,gsharplesdo@163.com,394-113-6630,0,0
IQGGJB53F05P328N,Perren,Weeks,Iowa,182,49819,IV,1988-03-12,pweeks6v@diigo.com,385-453-3892,0,0
IRJGGA40T64O781I,Brig,Avesque,"Doe Crossing",181,45084,PE,1989-11-25,bavesque7f@ihg.com,687-736-3452,1,1
IRLOLE16F76S902D,Letitia,Urwin,Grover,171,03659,SE,1968-01-11,lurwincx@qq.com,963-800-9199,1,0
IUAUCC59K14V403A,Merci,"Van der Kruijs",Donald,68,28214,CT,1982-10-18,mvanderkruijs8a@wsj.com,953-914-2185,1,1
IUQBNZ58M84D403V,Billye,Hubane,Jana,71,99167,MN,1996-09-19,bhubanea@clickbank.net,490-156-6155,0,1
IUXDBN89V15W788F,Merrili,Stathers,Lawn,163,34854,PY,1977-08-26,mstathersbh@jimdo.com,379-710-8653,0,0
IVVAMK71D96D702P,Katha,Phillippo,Surrey,90,62657,NW,1998-09-16,kphillippo6e@cbsnews.com,246-182-3237,1,1
IYHSYU20Q02A647R,Franklin,Eynaud,Dorton,75,08271,LT,1977-06-08,feynaudc4@smugmug.com,778-691-7178,0,1
IYKGAC57W28G210C,Suki,Butner,Farmco,145,02481,BN,1988-06-06,sbutnerbx@unesco.org,467-610-4880,0,0
IZBFGJ41J12C598M,Norean,Peachman,Rutledge,161,84205,XW,1993-10-22,npeachman6l@behance.net,941-969-6296,1,0
JDIHAJ88T19B837X,Jere,Reggio,Village,83,88382,VV,1981-01-13,jreggio7m@apple.com,548-741-1985,1,1
JERYSF73Y93B513L,Bartholomew,Cornish,Nancy,39,44467,MU,1956-04-29,bcornishbn@dyndns.org,818-795-3192,1,1
JGDBLD94B73O030A,Levi,Goldstone,Jenifer,44,74483,GO,1971-12-26,lgoldstonefr@xing.com,743-136-8521,1,0
JHSBBG81L95Q613T,Joscelin,Hubane,Oxford,47,55657,LU,1978-04-23,jhubanecy@oakley.com,173-919-1346,1,0
JLUPWM20S83Y744O,Alphonso,Hurling,Hoard,83,18990,KE,1970-12-30,ahurlinge4@squidoo.com,865-435-4587,0,0
JLUVDA46I64N566F,Mellicent,Lorrain,Parkside,70,21289,RL,1979-11-23,mlorrain4k@nyu.edu,724-688-4464,0,1
JMUXTL76E61K587D,Teriann,Bartoletti,Warbler,188,08541,VV,1990-12-02,tbartolettihj@blogs.com,577-380-7172,1,0
JNJFET65S81O245C,Kristal,Preshaw,Marquette,22,58213,IN,1980-12-25,kpreshaw7b@umn.edu,305-212-8009,1,1
JOKOST95I95X208Q,Klement,Calliss,Jay,189,41712,ZJ,1995-03-10,kcallissh0@soundcloud.com,160-238-9917,0,1
JOVLUY56Z91R771P,Selma,Huddles,Mesta,68,00368,HP,1988-03-29,shuddlesf2@soundcloud.com,104-388-1612,0,0
JPWCCU96Z01U860M,Jania,Davage,Algoma,47,67098,UH,1952-05-22,jdavage53@google.com,214-387-9023,0,0
JQJNZR80E43T845L,Thaine,Robbe,"Ridge Oak",162,32525,LK,1980-01-10,trobbehm@unesco.org,760-892-6439,0,1
JRDJBP14T62B193U,Franklyn,Burtonwood,Monument,65,17532,RY,1971-08-12,fburtonwoodcg@dell.com,476-792-8545,1,1
JTGHVB47L45I393J,Rod,Pilmoor,Mandrake,185,59102,GU,1952-11-02,rpilmoorcf@sfgate.com,146-633-4520,1,1
JTULLO61Y25S823R,Terrell,Neve,Basil,25,53210,CQ,1950-02-14,tneve27@homestead.com,712-988-4049,0,1
JURDIO91T26L636V,Rose,Nicklen,Carpenter,52,77493,BJ,1966-03-13,rnicklenbc@tinypic.com,868-871-4407,0,0
JWJRKS75L66A909O,Tabitha,Cloonan,Myrtle,74,10055,UU,1952-12-13,tcloonan1x@quantcast.com,324-731-0445,0,0
JXHMYX86W94N195Y,Rochella,Jell,Anzinger,124,85597,UD,1984-04-02,rjell8i@google.fr,599-436-2935,0,0
JXJDGT67V10U184X,Bunni,Stickney,Beilfuss,82,81514,LI,1984-10-15,bstickney9f@eventbrite.com,769-241-4066,1,1
JXXMKP32J41O620W,Buffy,Holburn,Eggendart,192,91228,SO,1972-09-21,bholburn1v@istockphoto.com,844-883-2464,0,0
KAXIBF41S45E960C,Rina,Backe,Toban,73,59230,KC,1997-12-10,rbackedg@sun.com,111-755-8479,1,1
KCGLJS68H10V339V,Forester,McCarlie,Killdeer,37,83537,LE,1966-02-01,fmccarlie1n@telegraph.co.uk,400-624-1948,0,1
KDHSXC24K95N963X,Krystalle,Katt,Arrowood,67,78525,GX,1958-03-29,kkattfd@prweb.com,525-425-5992,1,1
KEWNPU87R60M051Y,Blair,Bleas,Jenifer,75,84352,ZL,1998-10-18,bbleasg0@amazonaws.com,771-470-8341,0,1
KGWCCR64N20M371K,Vivie,Maffiotti,Alpine,143,48935,PF,1993-05-22,vmaffiotti68@cyberchimps.com,162-786-5543,1,1
KHIYLK89L23N623A,Amanda,Maybury,Hintze,96,66882,HA,1969-03-11,amayburydd@yahoo.co.jp,768-409-8448,0,0
KHNGVR24U57B585S,Hesther,Dulin,Dixon,80,12330,SD,1985-05-26,hdulin9l@vimeo.com,667-367-6911,0,1
KJALBE02P35I118P,Berk,Daveren,"Doe Crossing",133,21307,MA,1995-02-09,bdaveren36@myspace.com,491-331-4831,0,1
KKJDCG64V27L600K,Michaelina,Frill,"Fair Oaks",103,11712,VH,1973-09-19,mfrillch@ocn.ne.jp,214-386-4456,1,1
KMBTGP70Z45S770R,Berte,Heggadon,North,28,52017,JQ,1993-12-02,bheggadon85@parallels.com,172-885-1157,0,0
KMPGHY22U71K207Q,Dwain,Codman,Mcguire,13,59132,AW,1993-08-09,dcodmanfj@si.edu,786-516-6129,1,0
KNQBZU56W79E359J,Welby,Fenty,Eliot,141,24127,EH,1999-01-14,wfentydi@yelp.com,852-226-9263,0,1
KNROCO54P56H810X,Way,Siebart,Killdeer,137,89625,ED,1962-03-28,wsiebart1r@is.gd,945-602-5208,1,0
KSDJJH71U00Y725P,Malorie,Schieferstein,"Forest Run",84,57233,NT,1995-01-02,mschieferstein6g@reference.com,822-950-5701,0,1
KUEUPW36X45Y362Y,Dick,Eskell,Florence,24,03391,AA,1952-05-23,deskell4i@dion.ne.jp,424-122-6913,1,0
KUYMGU73Q91J876N,Ashlie,Bernier,Fairfield,5,79362,DO,1982-01-08,aberniergf@youtu.be,145-965-4321,0,1
KWAQDB74C35Z586L,Kirsti,Lowers,Hermina,165,16753,YR,1950-08-18,klowersag@posterous.com,157-656-1690,1,1
KXSWDX00A22S153A,Adrianna,MacNair,Cardinal,36,21098,ZS,1968-12-13,amacnair4r@skype.com,953-495-6225,0,0
KYDNFZ29V38P640C,Michaella,Rosenbusch,Arapahoe,109,31463,ZX,1950-01-21,mrosenbuschf6@cyberchimps.com,613-586-7264,0,1
KYJCJD28C91F907R,Rodi,Rasch,Clove,10,30383,AU,1966-09-27,rraschcd@imgur.com,199-373-2633,0,1
KYMCSM73C48N347N,Joice,Woakes,"Doe Crossing",77,94822,IY,1996-05-21,jwoakesfi@ftc.gov,883-646-7889,1,0
KYWQGO70R46H221M,Raf,Brocks,Fairview,177,08992,CU,1961-10-30,rbrocks3@tinypic.com,153-568-2471,1,0
LEDVMN75Z98U259K,Gauthier,Gordge,Ryan,119,43213,NP,1961-11-02,ggordge9r@weibo.com,972-121-9772,1,0
LHDRMB60W20F484B,Angil,Edwardes,Elgar,148,84279,HB,1952-07-02,aedwardes23@phpbb.com,414-484-7908,1,0
LHIJYW24Z41N901H,Catharina,Dayne,Shelley,20,53306,KE,1985-05-05,cdayne3d@skyrock.com,404-716-2015,0,0
LHSULI77T62O389B,Diana,Rable,Morning,82,04504,YC,1950-04-14,drable89@epa.gov,840-370-2543,1,1
LHTCHR70X78H337Y,Brendon,Lilian,Sunfield,113,17479,GR,1963-05-10,blilian7x@t.co,997-776-5721,0,0
LJGWVZ25B16G064R,Barnaby,Wasylkiewicz,Merry,97,75029,SX,1982-12-29,bwasylkiewiczd6@yellowbook.com,833-483-3302,0,1
LJZAEO13N20W224J,Whittaker,Feldhuhn,Village,106,54295,HD,1990-03-22,wfeldhuhnhb@topsy.com,450-605-7428,1,0
LKJXSC71S73H779Q,Gordan,Christoffels,Mockingbird,187,52779,HJ,1966-08-28,gchristoffels38@topsy.com,980-376-4214,1,1
LKKMMF59H36K486E,Savina,Lethby,"Fair Oaks",71,88899,FY,1979-10-04,slethbyb6@slate.com,420-767-8022,0,1
LKSOAQ00H76A420L,Modestine,Lambert-Ciorwyn,Acker,105,83779,WY,1982-11-16,mlambertciorwynbj@diigo.com,841-230-4511,0,1
LLCWQW56E47X161T,Vincenz,Feldbaum,Independence,46,19126,KE,1967-03-21,vfeldbaum1t@flickr.com,563-581-4690,1,1
LOBCID09L53B317R,Sybille,Spaduzza,Cherokee,32,63860,VZ,1967-05-04,sspaduzza2l@blinklist.com,888-281-9098,0,0
LOSEGH03R19H163D,Lisbeth,Moreinis,Judy,158,77283,MY,1987-07-24,lmoreinis74@scribd.com,983-957-5548,1,0
LPWMRY69X73W341C,Kaine,Levis,Burrows,108,54992,KB,1983-12-23,klevise0@chron.com,290-595-7789,1,1
LPXVQB71D50J378L,Cullie,Grand,Jackson,27,86882,ER,1973-05-26,cgrand4z@digg.com,984-127-7182,0,1
LRGQSJ30V92V352A,Dalston,Dommersen,Leroy,167,58938,CZ,1984-12-11,ddommersen4b@blogspot.com,847-728-7455,1,1
LRKFPS88X29R793R,Enrichetta,Clowton,Ilene,82,87099,SC,1958-06-12,eclowton14@flickr.com,252-700-4860,0,1
LRNKWD99T00O750L,Bette,Spiller,Ramsey,74,02371,NW,1999-01-09,bspiller81@google.pl,598-748-5138,1,1
LSBMFR35B50B743I,Fayina,Wollacott,Pennsylvania,35,04763,JQ,1967-10-11,fwollacott57@over-blog.com,460-169-0481,0,0
LSCQBL92A86T863T,Ron,Dicky,Ludington,4,45949,NW,1986-11-29,rdicky11@networksolutions.com,385-268-4431,0,0
LSFPBQ10U09G931S,Brandise,Gullam,Atwood,182,67643,TO,1950-09-22,bgullam6z@sogou.com,463-642-1265,1,1
LTWOHI06Y22W227Z,Nettle,Kornes,Lukken,124,45195,LZ,1982-10-01,nkornesha@shareasale.com,140-896-0942,0,0
LVHJLH44H26L328L,Aggi,Lyfe,Grasskamp,146,09755,BW,1950-03-13,alyfe2k@cornell.edu,132-709-3171,0,1
LWBTRK66P12E562J,Carly,Ovett,Hoffman,140,26816,XM,1969-12-09,covettgr@tumblr.com,253-628-2410,1,0
LWHQLJ48J26E443F,Remy,Gajewski,Sommers,151,88724,UQ,1969-07-18,rgajewskib9@mtv.com,667-138-5966,1,1
LXHASZ18M88Q640Z,Cyrill,Pugh,Roxbury,127,53713,VR,1996-07-02,cpugh8e@bluehost.com,955-653-6791,0,0
LXRAQZ48V67E614N,Kaitlin,Wrotchford,Brown,3,00002,BE,1960-07-15,kwrotchfordd9@engadget.com,986-437-5836,0,1
LYIKNH46D31R943R,Kai,Gillibrand,Corben,53,19719,IW,1982-09-05,kgillibrand22@si.edu,559-120-9667,0,1
LZCJKW61P36B956M,Stefan,Sommerscales,Anderson,156,97899,NH,1972-06-05,ssommerscalesbr@privacy.gov.au,416-755-8381,1,1
LZYVRC98C75I155R,Cherilyn,Bambrugh,Stuart,91,13079,EY,1982-07-21,cbambrugh9s@arstechnica.com,539-899-7880,1,1
LZYZFZ86Q98M893U,Quentin,Skupinski,Ramsey,117,66253,KH,1984-10-14,qskupinski77@phoca.cz,685-788-8830,1,1
MAMNDW82M71Z785X,Cristine,Harler,Judy,81,31751,MN,1965-03-11,charlerev@google.com.au,908-908-9442,1,1
MBIOWU23F78K866P,Ellis,Filippi,Northridge,39,03497,FQ,1986-10-30,efilippi3h@washington.edu,152-594-6524,1,1
MCABYB02D76T638S,Aurora,Kither,"Golden Leaf",83,78250,XV,1972-09-09,akitherc5@biglobe.ne.jp,137-622-3965,0,0
MCIUZQ98N67S561P,Zora,Cleator,Derek,27,77954,XP,1960-06-10,zcleator4g@usatoday.com,416-505-1948,1,1
MDFAPU17B41H122O,Natalya,Shipton,"American Ash",46,61700,GW,1952-08-27,nshipton1b@eepurl.com,140-712-6680,0,0
MGYFKW26U26W818G,Germaine,Obbard,Nobel,181,26974,MF,1971-08-28,gobbard9j@salon.com,104-964-8013,0,1
MKDYLX10G79E360T,Skipper,Feare,Muir,150,23170,NJ,1982-07-27,sfeareew@godaddy.com,911-752-1615,1,1
MLEWLJ14B56G997X,Shaylynn,Simmonite,Washington,72,77375,HW,1963-02-19,ssimmonite3r@ask.com,159-164-6291,1,0
MLGKBD08Z35O848F,Samuele,Segebrecht,Dahle,82,69919,KF,1955-04-02,ssegebrecht1f@irs.gov,831-301-7192,0,1
MMXLUZ88S71D170B,Vinnie,Jedrasik,Fordem,54,04314,MT,1951-09-18,vjedrasikgz@princeton.edu,106-388-4051,0,1
MNKCAC40J89C632M,Lyn,Kubis,5th,24,64817,XR,1979-06-03,lkubis92@t.co,882-540-9253,1,0
MOHZCD04O41F571K,Grannie,Mintram,Elka,197,33532,OH,1970-02-02,gmintram4a@oracle.com,573-701-8085,0,0
MORJES96W79A609M,Harriott,Bragginton,School,95,29065,RW,1963-06-17,hbraggintonhy@bloglovin.com,228-878-6637,1,0
MOTDTS40Z94X404B,Natasha,Daniello,"Norway Maple",8,88685,VM,1950-08-19,ndaniello54@reverbnation.com,994-716-7528,1,0
MPLEXU49X90D628T,Vaclav,Normaville,Lukken,3,86470,AD,1968-10-13,vnormaville2t@slideshare.net,941-978-3474,0,0
MQBVSE69G24X064B,Amii,Heiton,Beilfuss,131,49574,HY,1985-07-18,aheiton4o@apple.com,766-495-8979,1,1
MQOITN77R10W569M,Rosalie,Donwell,Rockefeller,178,30654,JT,1987-01-04,rdonwell79@altervista.org,885-327-6559,1,1
MQRHFW38P55L584M,Terri,Borres,Kim,171,80954,CO,1995-11-21,tborres8s@examiner.com,729-232-0388,1,1
MRFBHV75F19E331I,Teddy,Reckless,Spaight,111,29567,NP,1958-02-11,trecklessh9@creativecommons.org,191-434-1908,1,1
MRRQBD39M25T250G,Carmine,Sarson,Butternut,92,91103,HE,1980-09-22,csarsond0@cornell.edu,829-721-0880,1,1
MSFNAJ55Y38J946D,Marylou,Hiscoke,Forest,76,48749,XU,1998-10-04,mhiscoke97@princeton.edu,812-175-2472,0,0
MSSUCT96G05K517C,Jeramey,Snelling,Spaight,165,63960,JD,1975-12-23,jsnellingap@ucoz.ru,516-235-3413,1,1
MUOGXW35O40R079Q,Celene,Yakunkin,Burrows,18,93344,QC,1958-06-16,cyakunkingp@youtube.com,146-653-2128,1,0
MWJTXH92S01G540C,Lock,Kitman,Wayridge,58,55323,LU,1959-01-04,lkitmanf5@live.com,763-358-2056,0,0
MXXDSV00E08U505V,Ashley,Pentycross,Coleman,61,63809,SE,1990-01-31,apentycross1a@wunderground.com,356-358-0913,1,1
MXZDCD63C48U147N,Tootsie,Trase,Victoria,121,66405,BF,1968-09-26,ttrase15@msu.edu,273-872-8615,1,1
MYLCYZ41G39C126J,Genovera,Broxholme,Sundown,80,29353,FL,1983-09-26,gbroxholmehs@weibo.com,209-357-4707,0,0
MZJAWA35N98G458S,Anallise,McClosh,Coleman,120,61766,ZK,1982-05-19,amcclosh9e@toplist.cz,396-632-5666,1,0
NABPLF99T42E507S,Indira,Bateup,Lukken,132,40792,BL,1995-04-06,ibateup1o@squarespace.com,687-709-3716,1,0
NANVTP58V02Y142L,Kristy,Nail,"Pine View",85,99323,XK,1974-06-13,knail90@nymag.com,304-815-4640,0,1
NBBTJR38Y98P820S,Arnoldo,Trye,Summerview,138,97099,MR,1963-05-04,atrye4y@is.gd,635-960-0883,0,1
NFSRGR11Y03N801M,Bobina,Gerlts,Evergreen,176,13255,BG,1995-01-25,bgerlts9b@google.com,520-581-6503,1,0
NGSTBW56P06B183R,Lazaro,Reina,Anthes,13,10256,PN,1974-08-14,lreinaq@elegantthemes.com,134-992-3980,0,0
NGXVWJ83M26A237B,Jessamyn,Trevear,Lerdahl,21,87481,HW,1975-10-17,jtrevearht@is.gd,706-596-9987,0,1
NHTZYV84P69K321F,Carmelita,Orriss,"American Ash",186,87179,BV,1954-12-14,corriss2q@nytimes.com,636-155-4661,0,0
NIBKHQ60U35T776C,Katlin,Fonzo,Main,105,47908,NM,1991-06-08,kfonzo1q@ucoz.ru,442-878-6482,0,1
NJKGZH78V67C900S,Cathlene,Scoular,Sunfield,144,14230,EO,1967-05-02,cscoular20@diigo.com,657-186-7547,0,0
NJODBW91S86G879X,Andi,Giscken,Parkside,34,10004,BD,1991-06-13,agisckenan@samsung.com,584-237-4370,1,0
NKYXHT32Y15M087X,Glyn,Stanbrooke,Farwell,72,16062,OK,1964-12-19,gstanbrookegk@vkontakte.ru,127-100-3639,0,1
NKZHSJ02P02N018O,Harley,O'Corren,Sunnyside,128,03265,ZC,1953-05-12,hocorrenc3@theglobeandmail.com,222-738-1378,1,1
NMQOSE81D74G742A,Darya,Shorthill,Hagan,6,89697,YU,1968-04-15,dshorthilldc@reverbnation.com,861-416-0196,1,0
NNASML76Q64W590P,Russ,Boscher,Onsgard,176,84441,BJ,1965-03-18,rboscherdw@admin.ch,106-470-8006,1,1
NPLEXZ00O78X389E,Lorrin,Coppock.,"Mariners Cove",23,14591,TR,1981-10-12,lcoppockep@pcworld.com,263-366-4729,0,0
NQBBGM31A89H759B,Bengt,Flute,Evergreen,74,02484,TC,1950-02-25,bflutecu@cisco.com,257-651-3907,0,1
NQOCHT74K58B795A,Arney,Jereatt,Aberg,21,76671,AX,1963-01-30,ajereattbb@columbia.edu,136-140-6169,0,0
NRSYHA44V18I499Z,Park,Franzetti,Katie,105,70540,JQ,1982-11-02,pfranzetti7v@purevolume.com,937-361-0985,0,0
NRTUXV39A89B356W,Winne,Pass,Waywood,33,05625,EZ,1978-01-05,wpassdh@bloglovin.com,137-485-4571,0,1
NSIHFG73N73I089I,Woodman,Tanfield,Mallory,2,87505,CA,1992-08-30,wtanfieldgt@newsvine.com,229-289-4610,0,0
NTSZUG77F81W172E,Roseanna,Thunderman,Dryden,135,69241,TD,1987-09-29,rthundermanfv@imgur.com,961-519-8862,0,1
NUOJUU31A45U320R,Mona,Cadore,Elgar,99,68929,ZT,1968-02-08,mcadore2x@netlog.com,299-283-2895,1,1
NUXFNE88B80P060K,Biddy,Edney,Heffernan,10,79647,SV,1995-12-04,bedneyfn@wunderground.com,202-788-8551,0,1
NWWLEM13X36Q264E,Esmaria,Boxer,Welch,56,54389,DL,1982-03-02,eboxer7n@cnn.com,121-384-2938,1,0
NYRFJW88R21G018A,Harrison,Blockley,Vahlen,194,50521,XA,1960-03-18,hblockleyfc@usatoday.com,603-437-6135,0,1
NYWWPA15Y74D784U,Denna,Delmonti,Esch,89,48350,TO,1968-01-12,ddelmontic8@dion.ne.jp,694-831-3019,0,0
NZKDTB88N83Q628F,Tate,Briston,Erie,57,93762,RU,1994-11-04,tbristoni0@va.gov,797-215-7749,1,1
NZTPOG93N25M187A,Lynda,Gras,Mcbride,24,64604,RG,1998-12-19,lgrashe@elegantthemes.com,211-905-3403,0,0
OBCPNB47W37D727O,Debra,Sparwell,"Clyde Gallagher",32,93480,AB,1993-05-17,dsparwell1@tinyurl.com,447-685-3394,1,0
OBMZOY88C44Z114M,Vina,Gascoigne,Thackeray,155,61870,EM,1956-04-28,vgascoigne1j@netlog.com,500-325-7443,0,1
OBSAYK46W87D210D,Barbaraanne,Dagleas,Delaware,188,91433,CU,1976-12-22,bdaglease6@nih.gov,989-497-3714,1,0
OBSMEQ81Y12E324F,Elly,Wilsher,Fairfield,100,56907,JY,1994-06-20,ewilsher3j@vistaprint.com,193-835-4184,1,0
ODAOBR73F09Q200J,Guglielmo,Gilffilland,Hanson,143,47111,RG,1979-02-11,ggilffillandbe@phpbb.com,684-215-2582,1,1
ODJTWZ83E34Y358P,Thia,McKinie,Walton,71,30388,MU,1950-08-15,tmckinie6@tamu.edu,214-641-5251,0,0
OFUZHT46A46F150C,Ingrid,Broomer,Mockingbird,183,64863,BO,1958-12-05,ibroomer96@hatena.ne.jp,719-118-9769,1,0
OHIGNH41D64K664W,Kerr,Skone,Northwestern,109,26435,UR,1950-06-29,kskonedv@telegraph.co.uk,685-791-0126,1,0
OHNRPS67N28P611D,Alard,Elsmere,Thierer,17,37164,TZ,1968-04-16,aelsmere3s@npr.org,326-776-2019,0,1
OICNGB68T51X003N,Kaylyn,Luddy,Raven,182,13730,MH,1986-03-28,kluddy4s@theglobeandmail.com,537-141-0684,0,1
OIMLAU06U16T552F,Karalee,Beig,Lawn,39,18313,TR,1969-07-29,kbeig51@live.com,280-988-1606,1,1
OIUNUQ80E17J481V,Lauralee,Thon,Prentice,124,82337,KN,1950-04-12,lthon7p@mac.com,450-874-1649,0,1
OIXYPM49L28E532J,Tricia,Lambot,Paget,120,51380,LD,1958-04-24,tlambotds@redcross.org,815-427-0185,1,0
OJTTKQ18U59R405T,Laurice,Paolacci,Banding,96,37805,YN,1972-04-11,lpaolacci5g@unicef.org,577-649-7375,1,0
OJWXGA69F45E515X,Tait,Davson,Quincy,197,74128,UJ,1963-04-29,tdavson3x@pagesperso-orange.fr,373-486-0079,0,1
OJZQXD44V55I204E,Allianora,Lashford,Hintze,35,89458,JA,1960-09-02,alashfordc9@chronoengine.com,674-564-6326,1,0
OLCDAV80O46K162E,Westley,Giblin,Ruskin,123,39051,OR,1986-06-11,wgiblin2j@mit.edu,226-101-0488,0,1
OMASMN29R87E201T,Rodrick,Balsdon,Alpine,119,28424,XO,1973-05-11,rbalsdonfg@etsy.com,326-405-9259,1,0
OMKUPJ24M62W183K,Cointon,Ebbage,"Stone Corner",87,30782,BP,1972-04-07,cebbage5l@cafepress.com,115-194-5280,0,0
ONVKJV29N38D056E,Pen,Garshore,Stang,42,23650,CN,1971-10-04,pgarshore6o@wisc.edu,727-889-0056,0,1
OPNAIG85M54F495X,Rubia,Eckery,Mandrake,25,80253,EV,1956-02-14,reckeryh6@g.co,462-204-8235,0,0
OPUUJD73B87X302U,Dugald,Lamden,Butterfield,152,97482,AP,1980-04-16,dlamden5y@nasa.gov,514-135-3188,0,1
OQGUEW45J68Z708Q,Nobie,Bruna,Bayside,118,69976,FS,1977-09-23,nbruna3w@tumblr.com,790-618-6066,1,0
OQMVMT12S91T266A,Brendin,Baison,3rd,74,34361,FR,1997-12-18,bbaison4w@istockphoto.com,573-113-2392,1,0
OTGPQC58Z84Z320S,Horton,Pepi,Crownhardt,48,62192,OH,1985-10-29,hpepi3a@usda.gov,559-795-2184,1,1
OTHWHS33G25Y812P,Karlen,Hemerijk,Bartelt,89,46163,SF,1985-04-08,khemerijk8m@e-recht24.de,505-866-8660,1,1
OTTXZS80A87M245J,Paola,Bouchard,Reindahl,63,22660,QK,1952-03-30,pbouchardhi@xrea.com,851-692-3460,0,0
OWJPBB08U91T126G,Louis,Silversmid,Hoffman,54,58421,YO,1995-07-12,lsilversmid3n@blog.com,306-494-9864,0,0
OWODGH29Z88K016T,Tomi,Morfett,Sutherland,31,47789,LW,1988-07-30,tmorfettga@businessweek.com,167-496-9179,0,0
OXFOHA06N36J222R,Helga,Garrison,"Bunker Hill",87,50328,YG,1994-06-14,hgarrisong@wikipedia.org,116-530-7418,1,0
OYADTM49B04K603P,Deedee,Batie,Anthes,186,68998,CU,1979-01-17,dbatie9m@sitemeter.com,895-683-4948,0,0
OZHCVA09Z10X338T,Ophelia,Skates,Elka,164,44621,BE,1956-02-08,oskates7@phpbb.com,896-741-3826,0,1
OZVRKR96U73F698M,Hermina,Walak,Bartelt,131,48530,IS,1988-06-24,hwalak1u@npr.org,315-843-5015,1,1
PADBXY05D59J640O,Hogan,Every,Annamark,26,63398,MC,1991-09-23,hevery3o@goo.gl,916-465-6428,1,1
PASJSP67W24C424O,Glenna,Bagwell,Cody,26,66730,NG,1971-02-12,gbagwelld3@hud.gov,656-960-2461,1,1
PDRFHU90S03I145C,Bartholomew,Khadir,"Mariners Cove",71,51508,XW,1991-12-25,bkhadir95@biblegateway.com,807-329-9068,0,0
PEPAOE07O92M683Z,Joane,Medford,"Park Meadow",184,24460,GT,1974-10-28,jmedfordg4@epa.gov,438-298-6033,1,0
PETTRH28H73B581X,Olenka,Burfield,Knutson,148,43042,ZE,1951-03-06,oburfield21@pbs.org,813-205-9966,0,0
PEXJYZ98Y79I906O,Vivian,Paolotto,Hermina,37,30742,JO,1992-01-24,vpaolotto1g@gnu.org,680-174-1802,0,0
PFFYCV12I96T262I,Diane-marie,Lilford,Corben,93,11210,LO,1952-07-29,dlilford4v@symantec.com,861-666-7934,0,0
PFOKFX12I37K046N,Alidia,Jeanenet,Quincy,40,80352,EV,1961-06-02,ajeanenet1m@goo.ne.jp,784-673-5270,1,1
PFOMLR61H64T969D,Diannne,Bengefield,Arizona,65,33117,GB,1986-04-22,dbengefieldfy@nifty.com,737-503-7419,0,0
PFQSHB09I80Q357U,Hannah,Broom,6th,160,61708,GM,1964-05-20,hbroomy@meetup.com,568-610-7917,1,1
PGEOPZ20E76U130U,Arabelle,Orknay,Stuart,150,69550,EQ,1985-04-15,aorknay40@jalbum.net,979-784-1547,0,0
PGYQXC64K57J215S,Tess,Huckerby,Vera,186,52184,CM,1981-01-06,thuckerbydb@mashable.com,548-843-6240,0,0
PHQJZA32C24S583B,Gil,Rugieri,Debra,134,94360,MS,1960-06-17,grugieri5w@paypal.com,869-668-9650,1,0
